n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
37,57,4,1,481,1,5,481,0
38,29,6,1,-430,1,5,454,0
40,71,6,1,-467,1,5,497,0
41,37,3,0,-439,1,5,-439,0
42,62,1,1,447,1,5,422,0
43,92,6,1,-406,1,5,480,0
44,85,6,0,411,1,5,-464,0
46,67,1,0,-432,1,5,-432,0
47,29,6,0,492,1,5,-414,0
48,15,5,0,-485,1,5,-485,0
1,87,3,0,-422,0,6,-422,0
2,47,3,0,493,0,6,-479,0
3,84,3,0,-426,0,6,-472,0
4,70,3,0,466,0,6,-442,0
5,64,3,0,404,0,6,-495,0
7,44,3,0,-408,0,6,-408,0
8,22,3,1,408,0,6,458,0
9,17,3,0,-414,0,6,-414,0
11,81,3,0,-428,0,6,-428,0
12,71,3,0,-498,0,6,-464,0
13,29,3,1,462,0,6,451,0
14,75,3,0,421,0,6,-460,0
15,19,3,0,-429,0,6,-429,0
17,5,3,0,-440,0,6,-440,0
18,42,3,1,-425,0,6,403,0
19,70,3,1,435,0,6,452,0
20,86,3,0,-401,0,6,-451,0
21,21,3,1,445,0,6,445,0
22,96,3,1,412,0,6,416,0
24,27,3,0,-410,0,6,-410,0
25,84,3,0,435,0,6,-403,0
27,99,3,1,-432,0,6,424,0
28,73,3,1,472,0,6,465,0
29,28,3,1,460,0,6,456,0
30,40,3,1,-448,0,6,473,0
32,86,3,0,463,0,6,-407,0
33,69,3,0,426,0,6,-428,0
34,14,3,0,-424,0,6,-424,0
35,45,3,0,452,0,6,-419,0
36,33,3,1,403,0,6,403,0
37,77,3,1,453,0,6,453,0
38,94,3,0,-462,0,6,-403,0
40,11,3,1,-446,0,6,409,0
41,34,3,1,-490,0,6,410,0
42,39,3,0,-474,0,6,-498,0
43,12,3,0,-400,0,6,-400,0
44,67,3,0,-493,0,6,-493,0
46,70,3,0,-427,0,6,-433,0
47,80,3,0,-466,0,6,-466,0
48,50,3,1,466,0,6,466,0
1,34,6,0,-406,1,6,-419,0
2,5,6,1,457,1,6,457,0
3,71,6,1,416,1,6,416,0
4,22,6,0,445,1,6,-435,0
5,9,6,0,484,1,6,-493,0
7,74,6,1,-465,1,6,458,0
8,95,6,0,-491,1,6,-404,0
9,28,6,0,-492,1,6,-492,0
11,4,6,0,-419,1,6,-419,0
12,1,6,1,413,1,6,413,0
13,2,6,1,407,1,6,407,0
14,53,6,0,-442,1,6,-500,0
15,69,6,1,418,1,6,418,0
17,58,6,1,429,1,6,429,0
