n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
17,24,2,1,452,1
18,69,5,0,451,1
19,71,4,0,-437,1
20,2,1,0,-478,1
21,5,1,1,433,1
22,7,1,1,497,1
24,33,3,1,420,1
25,51,6,0,448,1
27,83,6,1,451,1
28,98,6,1,500,1
29,23,4,0,-416,1
30,60,6,1,-478,1
32,67,6,1,-483,1
33,37,6,0,409,1
34,15,3,1,462,1
35,77,5,0,-458,1
36,5,1,0,-473,1
37,36,4,1,428,1
38,44,5,1,478,1
40,94,6,0,445,1
41,71,5,0,-490,1
42,60,6,1,-484,1
43,40,6,1,-404,1
44,40,4,1,450,1
46,8,1,1,495,1
47,50,6,1,461,1
48,34,5,1,490,1
1,1,0,0,-450,0
2,58,3,0,-492,0
3,24,1,0,-400,0
4,18,2,0,-493,0
5,1,0,0,-403,0
7,40,2,1,479,0
8,45,4,0,-439,0
9,92,5,1,-453,0
11,53,4,1,469,0
12,45,4,0,-458,0
13,47,4,0,-470,0
14,48,4,0,-448,0
15,58,5,1,467,0
17,36,3,0,-472,0
18,84,5,1,-417,0
19,78,5,1,489,0
20,55,4,0,-422,0
21,11,1,1,465,0
22,88,6,0,450,0
24,3,0,0,-499,0
25,88,6,0,475,0
27,37,3,1,472,0
28,69,4,1,478,0
29,51,5,0,434,0
30,99,6,0,-459,0
32,85,6,0,494,0
33,95,5,0,-435,0
34,19,6,0,463,0
35,77,4,0,-485,0
36,27,2,0,-400,0
37,1,0,0,-404,0
38,89,5,1,406,0
40,91,5,0,-470,0
41,66,4,0,-408,0
42,89,5,1,440,0
43,99,5,0,-416,0
44,63,4,0,-465,0
46,60,4,1,455,0
47,4,1,1,490,0
48,48,4,0,-475,0
1,67,6,0,-421,1
2,62,6,0,-428,1
3,23,6,1,435,1
4,59,6,1,449,1
5,80,6,0,433,1
7,33,6,0,-428,1
8,42,6,0,-400,1
9,42,6,0,-453,1
11,85,6,1,448,1
12,88,6,1,-495,1
13,35,6,0,-483,1
14,83,6,0,-477,1
15,3,6,0,-418,1
17,83,6,0,-429,1
18,94,6,0,462,1
19,10,6,0,-468,1
20,91,6,0,-493,1
21,70,6,0,-500,1
22,13,6,1,430,1
24,44,6,0,-488,1
25,16,6,1,495,1
27,2,6,1,440,1
28,21,6,0,-473,1
29,62,6,0,-480,1
30,15,6,1,494,1
32,80,6,1,-413,1
33,1,6,0,-422,1
34,13,6,1,400,1
35,56,6,1,413,1
36,77,6,1,447,1
37,98,6,0,475,1
38,84,6,0,-425,1
40,63,6,1,-494,1
41,49,6,0,484,1
42,18,6,1,-443,1
43,61,6,0,477,1
44,82,6,0,463,1
46,23,6,1,416,1
47,69,6,1,-420,1
48,11,6,1,411,1
1,30,6,1,459,0
2,42,6,1,423,0
3,60,0,1,-453,0
4,31,6,1,456,0
5,2,0,0,-400,0
7,15,0,0,-405,0
8,73,0,0,-408,0
9,85,0,0,-499,0
11,23,0,1,-422,0
12,21,6,1,442,0
13,83,6,1,461,0
14,16,6,1,440,0
15,18,0,0,-432,0
17,16,6,1,492,0
18,40,6,0,485,0
19,51,6,0,460,0
20,86,0,0,-405,0
21,94,0,1,-451,0
22,67,6,1,500,0
24,39,0,0,-486,0
25,97,6,0,444,0
27,32,0,0,-432,0
28,5,0,0,-489,0
29,61,0,0,-413,0
30,93,0,1,-428,0
32,19,0,0,-452,0
33,92,6,1,487,0
34,50,0,0,-489,0
35,70,0,0,-453,0
36,99,6,1,407,0
37,73,0,0,-464,0
38,58,6,1,491,0
40,99,0,0,-419,0
41,26,0,0,-484,0
42,6,0,0,-408,0
43,1,6,1,485,0
44,31,6,1,435,0
46,46,0,0,-453,0
47,1,0,0,-408,0
48,16,0,0,-433,0
1,11,6,1,417,1
2,20,6,1,443,1
3,36,6,0,-408,1
4,39,6,0,467,1
5,73,6,1,403,1
7,77,6,1,-459,1
8,98,6,0,-410,1
9,29,6,1,434,1
11,68,6,1,490,1
12,68,6,0,489,1
13,45,6,0,458,1
14,48,6,1,417,1
15,12,6,0,-490,1
17,75,6,0,470,1
18,42,6,0,-481,1
19,31,6,1,447,1
20,33,6,1,470,1
21,99,6,1,410,1
22,77,6,1,-406,1
24,33,6,1,460,1
25,38,6,1,479,1
27,61,6,0,474,1
28,67,6,1,-491,1
29,67,6,0,-480,1
