n_trial,uncertainty,seek,mc_model,Instr
3,22,0,-478,1
4,73,0,490,1
5,72,0,441,1
7,93,0,408,1
8,47,0,-439,1
9,59,0,-408,1
11,98,0,454,1
12,81,0,-438,1
13,7,0,-475,1
14,43,0,449,1
15,44,0,418,1
17,9,0,-420,1
18,97,4,-472,1
19,89,5,460,1
20,69,1,-424,1
21,47,5,432,1
22,82,5,434,1
24,10,0,429,1
25,67,2,479,1
27,40,1,-414,1
28,29,0,-439,1
29,62,4,-489,1
30,33,1,418,1
32,89,4,-483,1
33,34,2,-443,1
34,73,2,499,1
35,19,0,414,1
36,45,2,-414,1
37,16,0,400,1
38,70,4,454,1
40,94,6,414,1
41,28,2,-437,1
42,3,0,486,1
43,89,5,453,1
44,59,3,481,1
46,45,3,-466,1
47,77,5,-435,1
48,19,1,-500,1
1,84,1,492,0
2,86,0,-481,0
3,86,4,492,0
4,35,2,459,0
5,75,1,402,0
7,78,1,-401,0
8,44,0,404,0
9,44,0,411,0
11,51,0,455,0
12,48,3,-492,0
13,7,0,465,0
14,83,0,-432,0
15,13,0,495,0
17,12,0,490,0
18,16,0,-446,0
19,47,0,483,0
20,67,0,472,0
21,37,0,474,0
22,27,0,424,0
24,50,0,-409,0
25,90,0,-498,0
27,78,0,434,0
28,22,0,456,0
29,79,0,-420,0
30,13,0,493,0
32,21,0,420,0
33,32,0,-466,0
34,80,0,-428,0
35,33,0,404,0
36,54,0,477,0
37,47,0,-425,0
38,20,0,-491,0
40,53,0,469,0
41,10,0,441,0
42,63,0,-466,0
43,84,0,438,0
44,20,0,-454,0
46,43,0,-471,0
47,77,0,-420,0
48,64,0,-457,0
1,93,6,-448,1
2,6,0,-453,1
3,5,6,455,1
4,24,2,-489,1
5,61,6,401,1
7,81,6,460,1
8,92,0,459,1
9,77,6,429,1
11,15,0,430,1
12,5,0,492,1
13,72,6,465,1
14,31,0,462,1
15,22,0,-451,1
17,43,0,-429,1
18,58,6,-400,1
19,12,0,500,1
20,29,0,-430,1
21,26,0,-488,1
22,83,6,425,1
24,46,0,-497,1
25,68,6,449,1
27,41,0,-420,1
28,79,6,469,1
29,90,6,446,1
30,69,6,-426,1
32,23,0,-428,1
33,57,0,411,1
34,55,0,464,1
35,91,6,419,1
36,99,6,418,1
37,9,0,-441,1
38,67,6,-471,1
40,39,0,412,1
