n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
15,98,0,1,451,0,1,4,5cd6d5a4efab0c0001d08922
17,45,0,1,401,0,1,4,5cd6d5a4efab0c0001d08922
18,16,6,1,407,0,1,4,5cd6d5a4efab0c0001d08922
19,56,1,1,490,0,1,4,5cd6d5a4efab0c0001d08922
20,53,0,0,-485,0,1,4,5cd6d5a4efab0c0001d08922
21,52,2,1,488,0,1,4,5cd6d5a4efab0c0001d08922
22,88,1,0,-484,0,1,4,5cd6d5a4efab0c0001d08922
24,51,2,1,488,0,1,4,5cd6d5a4efab0c0001d08922
25,35,0,0,-450,0,1,4,5cd6d5a4efab0c0001d08922
27,2,0,1,462,0,1,4,5cd6d5a4efab0c0001d08922
28,25,0,0,-490,0,1,4,5cd6d5a4efab0c0001d08922
29,85,0,1,498,0,1,4,5cd6d5a4efab0c0001d08922
30,62,2,0,-421,0,1,4,5cd6d5a4efab0c0001d08922
32,89,0,0,-429,0,1,4,5cd6d5a4efab0c0001d08922
33,44,0,0,-469,0,1,4,5cd6d5a4efab0c0001d08922
34,16,0,0,-415,0,1,4,5cd6d5a4efab0c0001d08922
35,87,0,0,-404,0,1,4,5cd6d5a4efab0c0001d08922
36,9,6,1,459,0,1,4,5cd6d5a4efab0c0001d08922
37,12,0,0,-481,0,1,4,5cd6d5a4efab0c0001d08922
38,59,4,1,489,0,1,4,5cd6d5a4efab0c0001d08922
40,90,0,1,475,0,1,4,5cd6d5a4efab0c0001d08922
41,28,6,1,461,0,1,4,5cd6d5a4efab0c0001d08922
42,75,3,1,466,0,1,4,5cd6d5a4efab0c0001d08922
43,84,2,1,438,0,1,4,5cd6d5a4efab0c0001d08922
44,85,0,1,450,0,1,4,5cd6d5a4efab0c0001d08922
46,26,0,0,-458,0,1,4,5cd6d5a4efab0c0001d08922
47,21,0,0,-481,0,1,4,5cd6d5a4efab0c0001d08922
48,26,6,1,497,0,1,4,5cd6d5a4efab0c0001d08922
1,3,6,0,-443,1,1,4,5cd6d5a4efab0c0001d08922
2,3,6,0,-406,1,1,4,5cd6d5a4efab0c0001d08922
3,43,6,0,-409,1,1,4,5cd6d5a4efab0c0001d08922
4,64,6,1,461,1,1,4,5cd6d5a4efab0c0001d08922
5,61,6,0,-451,1,1,4,5cd6d5a4efab0c0001d08922
7,35,6,0,-476,1,1,4,5cd6d5a4efab0c0001d08922
8,10,6,0,-418,1,1,4,5cd6d5a4efab0c0001d08922
9,41,5,0,-403,1,1,4,5cd6d5a4efab0c0001d08922
11,48,6,0,-476,1,1,4,5cd6d5a4efab0c0001d08922
12,4,6,0,-408,1,1,4,5cd6d5a4efab0c0001d08922
13,50,6,1,458,1,1,4,5cd6d5a4efab0c0001d08922
14,21,6,1,475,1,1,4,5cd6d5a4efab0c0001d08922
15,53,6,1,416,1,1,4,5cd6d5a4efab0c0001d08922
17,62,6,0,-442,1,1,4,5cd6d5a4efab0c0001d08922
18,71,6,0,-468,1,1,4,5cd6d5a4efab0c0001d08922
19,99,6,0,-418,1,1,4,5cd6d5a4efab0c0001d08922
20,17,6,1,454,1,1,4,5cd6d5a4efab0c0001d08922
21,37,6,1,415,1,1,4,5cd6d5a4efab0c0001d08922
22,91,6,1,461,1,1,4,5cd6d5a4efab0c0001d08922
24,62,6,0,-470,1,1,4,5cd6d5a4efab0c0001d08922
25,83,6,0,-432,1,1,4,5cd6d5a4efab0c0001d08922
27,91,6,1,457,1,1,4,5cd6d5a4efab0c0001d08922
28,3,6,1,469,1,1,4,5cd6d5a4efab0c0001d08922
29,34,6,1,486,1,1,4,5cd6d5a4efab0c0001d08922
30,3,5,0,-482,1,1,4,5cd6d5a4efab0c0001d08922
32,30,6,0,-468,1,1,4,5cd6d5a4efab0c0001d08922
33,41,6,0,-493,1,1,4,5cd6d5a4efab0c0001d08922
34,14,6,0,-466,1,1,4,5cd6d5a4efab0c0001d08922
35,93,6,1,500,1,1,4,5cd6d5a4efab0c0001d08922
36,4,6,1,473,1,1,4,5cd6d5a4efab0c0001d08922
37,54,6,0,-455,1,1,4,5cd6d5a4efab0c0001d08922
38,25,5,1,439,1,1,4,5cd6d5a4efab0c0001d08922
40,76,6,1,439,1,1,4,5cd6d5a4efab0c0001d08922
41,94,6,0,-462,1,1,4,5cd6d5a4efab0c0001d08922
42,23,6,1,417,1,1,4,5cd6d5a4efab0c0001d08922
43,6,5,1,446,1,1,4,5cd6d5a4efab0c0001d08922
44,87,6,1,453,1,1,4,5cd6d5a4efab0c0001d08922
46,64,6,1,460,1,1,4,5cd6d5a4efab0c0001d08922
47,43,6,1,431,1,1,4,5cd6d5a4efab0c0001d08922
48,85,6,0,-450,1,1,4,5cd6d5a4efab0c0001d08922
1,72,6,0,-459,0,1,3,5ce9b0e4be5a6b00163f6870
2,8,2,0,-459,0,1,3,5ce9b0e4be5a6b00163f6870
3,18,6,1,485,0,1,3,5ce9b0e4be5a6b00163f6870
4,78,2,1,475,0,1,3,5ce9b0e4be5a6b00163f6870
5,31,5,0,-424,0,1,3,5ce9b0e4be5a6b00163f6870
